Unnamed: 0,ID,Last_Name,First_Name,NickName,ID2,IsUnused,SlotType,IsRegular,IsGener,IsDraftee,IsDrafted,ASA_ID,OvrdStYrs,Pos,SecondPos,Height,Weight,BirthDay,BirthMonth,Age,Hand,DunkHand,YearsPro,CollegeID,DraftedBy,DraftYear,DraftRound,DraftPos,CAP_Nick,Personality,Play4Winner,FinSecurity,Loyalty,PeakAgeS,PeakAgeE,PortrID,GenericF,CF_ID,AudioID_M,NmOrder,NmShType,SkinTone,Muscles,EyeColor,Bodytype,Clothes,HS_ID,CAP_FaceT,CAP_Hstl,CAP_Hcol,CAP_Hlen,CAP_BStyle,CAP_Moust,CAP_Goatee,CAP_Fhcol,CAP_Eyebr,CAP_TLftN,CAP_TLftS,CAP_TRgtS,CAP_TLftB,CAP_TRgtB,CAP_TLftF,CAP_TRgtF,PlayInitor,GoesTo3PT,PlayStyle,PlayType1,PlayType2,PlayType3,PlayType4,Number,IsFA,TeamID1,TeamID2,MinsAsg,Morale,Fatigue,FARestr,CtrThoughts,InjDaysLeft,InjType,PosRank,OvrlRank,IsScouted,StatY0,StatY1,StatY2,StatY3,StatY4,StatY5,StatY6,StatY7,StatY8,StatY9,StatY10,StatY11,StatY12,StatY13,StatY14,StatY15,StatY16,StatY17,StatY18,StatY19,StatPOs,GH_CarPts,GH_CarFGM,GH_CarFGA,GH_CarStl,GH_CarBlk,GH_Car3PM,GH_Car3PA,GH_CarFTM,GH_CarFTA,GH_CarOReb,GH_CarDReb,GH_CarRebs,GH_CarAst,GH_CarMins,GH_SeaPts,GH_SeaFGM,GH_SeaFGA,GH_SeaStl,GH_SeaBlk,GH_Sea3PM,GH_Sea3PA,GH_SeaFTM,GH_SeaFTA,GH_SeaOReb,GH_SeaDReb,GH_SeaRebs,GH_SeaAst,GH_SeaMins,Overall_I,SklBst,SShtLoP,SShtCls,SShtMed,SSht3PT,SShtFT,SDunk,SStdDunk,SLayUp,SLayUpStnd,SLayUpSpin,SLayUpEuro,SLayUpHop,SRunner,SStpThru,SShtInT,SPstFdaway,SPstHook,SShtOfD,SBallHndl,SOffHDrib,SBallSec,SPass,SBlock,SSteal,SHands,SOnBallD,SOReb,SDReb,SOLowPost,SDLowPost,SOAwar,SDAwar,SConsis,SStamina,SSpeed,SQuick,SStrength,SVertical,SHustle,SDurab,SPOT,SEmotion,SigSkill1,SigSkill2,SigSkill3,SigSkill4,SigSkill5,TShtTend,TInsShots,TCloseSht,TMidShots,T3PTShots,TPutbacks,TDriveLn,TPullUp,TPumpFake,TTrplThrt,TTTShot,TNoTT,TStrghtDr,TSizeUp,THesitat,TDriveRvL,TCrossov,TSpin,TStepBack,THalfSpin,TDblCross,TBhndBack,THesCross,TInAndOut,TDPSimpDr,TAttackB,TPassOut,TFadeaway,TStpbJmpr,TSpinJmpr,TDunkvLU,TAlleyOop,TUseGlass,TDrawFoul,TVShCrash,TPckRlvFd,TPostUp,TTouches,TPostSpn,TPostDrv,TPostAgBd,TLeavePost,TPostDrpSt,TPostFaceU,TPostBDown,TPostShots,TPostHook,TPostFdawy,TPostShmSh,TPostHopSh,TFlshPass,TThrowAO,THardFoul,TTakeChrg,TPassLane,TOnBalStl,TContShot,TCommFoul,HZ1,HZ2,HZ3,HZ4,HZ5,HZ6,HZ7,HZ8,HZ9,HZ10,HZ11,HZ12,HZ13,HZ14,AShtRlTim,AShtForm,AShtBase,AFadeaway,AContestd,AFreeT,ADrPullUp,ASpinJmpr,AHopJmpr,APstFade,APstHook,APstHopSh,APstShmSh,APstPrtct,APstPrtSpn,AIsoCross,AIsoBhBck,AIsoSpin,AIsoHesit,ALayUp,AGoToDunk,ADunk2,ADunk3,ADunk4,ADunk5,ADunk6,ADunk7,ADunk8,ADunk9,ADunk10,ADunk11,ADunk12,ADunk13,ADunk14,ADunk15,AIntPreGI,AIntPreG1,AIntPreG2,AIntPreT1,AIntPreT2,BirdYears,CClrYears,CDaysLeft,CRole,COption,CNoTrade,CYear1,CYear2,CYear3,CYear4,CYear5,CYear6,SgndTYWith,YrsForCurT,GHeadband,GHdbndLg,GUndrshrt,GUndrsCol,GLeftArm,GLArmCol,GLeftElb,GLElbCol,GLeftWrst,GLWrstC1,GLWrstC2,GLeftFngr,GLFngrCol,GRghtArm,GRArmCol,GRghtElb,GRElbCol,GRghtWrst,GRWrstC1,GRWrstC2,GRghtFngr,GRFngrCol,GPresShrt,GPrsShCol,GLeftLeg,GLLegCol,GLeftKnee,GLKneeCol,GLeftAnkl,GLAnklCol,GRghtLeg,GRLegCol,GRghtKnee,GRKneeCol,GRghtAnkl,GRAnklCol,GSockLngh,GShsBrLck,GShsBrand,GShsModel1,GShsModel2,GShsModel3,GShsModel4,GShsColMod,GShsColHSd,GShsColHTr,GShsColASd,GShsColATr,HParam1,HParam2,HdBrwHght,HdBrwWdth,HdBrwSlpd,HdNkThck,HdNkFat,HdChnLen,HdChnWdth,HdChnProt,HdJawSqr,HdJawWdth,HdChkHght,HdChkWdth,HdChkFull,HdDefinit,MtULCurve,MtULThick,MtULProtr,MtLLCurve,MtLLThick,MtLLProtr,MtSzHght,MtSzWdth,MtCrvCorn,ErHeight,ErWidth,ErEarLobe,ErTilt,NsNsHght,NsNsWdth,NsNsProtr,NsBnBridge,NsBnDefin,NsBnWdth,NsTipHght,NsTipWdth,NsTipTip,NsTipBnd,NsNtHght,NsNtWdth,EsFrmOpen,EsFrmSpac,EsFrmLwEl,EsFrmUpEl,EsPlcHght,EsPlcWdth,EsPlcRot,EsPlcProt,EsShpOtEl,EsShpInEl
,0,Wiggins,Andrew,0,0,0,0,1,1,1,0,49150,0,2,1,203.2,202.0,23,2,18,1,1,1,87,-1,2014,0,0,0,0,65,60,65,26,32,4503,0,0,0,0,0,2,0,1,1,0,-1,0,19,0,0,9,0,0,0,3,0,0,0,0,0,0,0,1,1,11,8,3,7,1,22,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,62,76,81,76,64,85,70,85,83,85,91,87,89,89,80,81,66,81,74,69,61,57,62,68,81,69,46,56,65,59,73,71,75,87,87,82,70,90,70,90,84,40,2,34,1,37,6,72,37,23,46,65,39,50,50,15,10,75,35,100,0,50,50,50,25,50,25,15,25,0,0,75,70,50,25,75,50,85,90,25,82,10,25,75,85,35,25,25,0,0,0,25,25,25,50,25,0,0,50,30,0,25,15,75,25,2,1,1,2,1,1,1,2,1,1,1,2,2,1,0,5,52,6,0,9,15,3,4,7,5,9,0,0,0,3,3,0,1,1,23,25,12,29,24,28,36,56,57,58,60,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,2,3,0,3,5,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,8,0,2,379A61F5,A68493ED,2CA104E5,E3B09A6A,0,0,1,0,1,255,0,-2,-53,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Parker,Jabari,0,0,0,0,1,1,1,0,49151,0,3,2,203.2,245.0,15,3,18,1,1,1,11,-1,2014,0,0,0,0,25,50,75,26,31,4501,0,0,0,0,0,2,0,1,1,0,-1,0,7,1,0,7,0,0,1,1,0,0,8,46,0,47,0,0,1,24,3,5,1,7,12,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,81,74,81,76,76,82,82,84,86,75,89,82,76,78,75,80,71,79,63,58,65,58,58,46,86,59,64,75,77,65,72,64,75,87,78,66,77,79,76,62,80,45,3,10,9,0,0,65,66,40,20,59,25,55,0,50,50,0,15,55,10,35,75,30,50,0,30,0,0,70,0,55,65,35,15,45,30,75,25,25,75,45,55,50,71,0,20,10,0,0,0,25,85,50,54,5,0,5,35,55,38,33,14,52,45,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,27,91,6,0,15,10,3,11,5,0,9,0,0,0,2,3,4,2,3,18,16,8,6,12,9,7,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,0,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,8,0,2,C9592268,E95E4FEB,45E1D8AE,7023109F,0,0,1,0,1,255,0,20,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,Embiid,Joel,0,0,0,0,1,1,1,0,49152,0,4,5,213.36,250.0,16,3,19,1,1,1,87,-1,2014,0,0,0,3,65,75,90,26,32,4502,0,0,0,0,0,1,1,1,3,0,-1,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,30,4,3,7,1,21,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,93,71,76,60,72,72,85,74,88,86,86,82,84,91,68,74,72,60,58,54,52,48,84,46,76,54,90,82,80,76,64,60,65,80,60,52,80,70,78,80,96,90,7,9,10,33,27,80,62,35,57,61,69,55,25,15,30,50,15,81,57,22,55,50,25,25,15,25,25,0,0,85,72,38,52,81,67,75,80,50,99,0,40,95,93,50,50,50,0,75,25,75,95,95,85,50,35,5,25,55,0,15,15,95,30,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,102,66,8,1,85,0,0,0,6,8,2,1,1,1,0,0,2,1,6,1,2,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,3,0,3,0,3,5,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,6,E2995E6D,4279D03D,1ED50F7D,ECB2AC40,0,0,1,0,1,255,0,-9,54,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,Gordon,Aaron,0,0,0,0,1,1,1,0,49153,0,3,2,205.74,220.0,16,9,18,1,1,1,234,-1,2014,0,0,0,0,45,45,90,26,32,4514,0,0,0,0,0,5,0,1,1,0,-1,0,12,1,0,13,0,0,1,4,0,0,0,0,51,0,0,1,1,18,3,8,5,1,100,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,70,70,74,71,70,93,86,76,85,81,84,76,81,80,69,67,63,66,64,59,51,53,69,54,85,62,72,77,63,63,60,58,55,81,76,70,62,95,72,87,84,40,2,1,20,0,0,77,48,24,42,63,52,63,47,25,15,75,25,100,25,25,55,25,15,15,15,0,15,0,0,85,80,20,10,25,5,95,95,45,84,10,75,75,82,25,50,10,0,0,10,50,50,10,50,10,25,0,40,65,0,50,25,80,20,2,1,1,2,1,1,1,2,1,1,2,1,2,1,0,2,2,17,1,5,28,15,18,2,3,7,1,0,1,3,2,4,2,1,23,24,25,26,27,28,29,39,43,60,54,56,49,58,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,4,0,1,2,3,0,3,8,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,8,0,1,8AFFD734,76BA367E,BAAAC531,29209FFC,0,0,1,0,1,255,0,10,-54,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,Exum,Dante,0,0,0,0,1,1,1,0,49154,0,0,1,198.12,190.0,13,7,18,1,1,1,331,-1,2014,0,0,0,1,25,50,50,25,28,4507,0,0,0,0,0,4,0,1,1,0,-1,0,17,0,0,0,0,0,0,1,19,0,0,57,0,31,0,1,1,5,2,3,6,1,11,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,49,71,74,73,73,60,30,84,77,83,82,78,88,88,66,62,59,65,87,82,79,82,59,67,81,71,41,52,49,46,69,68,70,90,89,84,53,73,74,55,76,70,15,12,0,0,0,40,30,15,5,39,25,50,5,10,25,30,35,100,0,0,50,50,0,50,0,25,50,75,50,75,50,75,0,0,0,35,20,20,70,15,25,0,71,0,0,0,100,0,0,0,0,0,0,0,0,0,20,40,0,50,50,40,20,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,5,37,14,0,111,15,4,8,4,5,9,0,0,0,5,2,5,0,13,7,35,4,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,0,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,2,CB572268,E95E4FEB,45E1D8AE,7023FF9F,0,0,1,0,1,255,0,15,34,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,Smart,Marcus,0,0,0,0,1,1,1,0,49155,0,1,2,193.04,220.0,6,3,19,1,1,1,92,-1,2014,0,0,0,2,50,50,75,25,31,4504,0,0,0,0,0,2,0,1,3,0,-1,0,5,0,0,13,0,0,0,3,0,0,0,0,0,0,0,1,1,7,3,6,2,0,36,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,61,68,70,68,73,51,29,79,78,77,87,74,75,85,72,45,45,62,76,71,63,68,53,67,69,73,48,51,52,58,63,69,50,87,92,87,64,75,89,77,80,90,3,23,24,31,32,58,38,33,28,61,30,57,43,5,5,5,85,100,0,0,50,50,15,50,5,25,50,25,15,75,70,50,10,70,20,15,10,40,79,10,0,75,54,50,50,75,0,0,0,50,25,50,25,25,0,0,60,70,80,85,85,85,40,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,34,91,8,0,20,11,2,6,0,0,9,0,0,0,2,4,0,2,9,7,22,12,37,39,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,2,3,0,3,0,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,2,3DBB741E,A76B3C9F,DB30BCB2,3FA0CC85,0,0,1,0,1,255,0,18,-37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Randle,Julius,0,0,0,0,1,1,1,0,49156,0,3,4,205.74,250.0,29,11,19,0,0,1,257,-1,2014,0,0,0,3,60,60,60,25,32,4505,0,0,0,0,0,1,1,1,1,0,-1,0,12,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,24,4,3,5,1,30,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,79,71,74,64,65,70,80,66,82,69,59,62,73,64,70,67,77,62,56,51,52,47,73,47,77,57,86,82,71,68,60,50,60,85,62,56,78,72,77,83,82,40,20,0,0,0,0,70,65,35,25,43,75,50,15,25,15,50,20,100,0,0,45,25,15,15,15,0,15,0,0,85,80,20,25,25,50,75,75,75,99,0,75,90,86,25,25,25,0,0,0,0,50,75,25,25,50,0,25,30,0,15,15,55,71,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,126,46,13,1,74,19,14,7,0,12,5,1,0,1,3,0,0,0,2,16,9,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,0,3,2,0,3,2,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,1,6D8BE23F,914EFFF5,5FA0609C,BA078AAB,0,0,1,0,1,255,0,-64,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,Stauskas,Nik,0,0,0,0,1,1,1,0,49157,0,1,2,198.12,205.0,7,10,20,1,1,1,76,-1,2014,0,0,0,1,25,25,50,24,25,4629,0,0,0,0,0,5,0,2,1,0,-1,0,5,0,0,0,0,0,0,3,0,0,18,12,0,0,0,0,1,6,8,7,3,0,1,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,45,74,76,79,75,58,25,76,65,62,63,74,74,67,66,49,39,78,84,80,72,68,37,58,78,58,31,45,42,38,66,52,70,82,84,76,46,72,62,80,72,25,5,7,12,0,0,62,24,18,29,57,15,32,68,5,25,50,30,100,0,0,51,50,0,90,0,5,50,25,15,75,38,52,0,100,0,24,34,14,68,20,0,0,56,0,0,0,100,0,0,0,0,0,0,0,0,0,25,35,0,50,50,25,20,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,26,29,6,0,25,5,4,7,2,0,9,0,0,0,2,2,3,0,0,4,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,0,3,2,0,3,0,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,1,1D4535B0,22A96423,8A0705AB,4EC747DC,0,0,1,0,1,255,0,-22,71,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Vonleh,Noah,0,0,0,0,1,1,1,0,49158,0,3,4,205.74,250.0,24,8,18,1,1,1,74,-1,2014,0,0,0,1,25,50,50,25,28,4509,0,0,0,0,0,1,0,1,1,0,-1,0,6,3,0,0,7,0,3,1,35,0,0,0,0,0,0,0,0,24,3,4,6,0,32,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,66,61,68,64,58,70,80,66,78,58,56,50,52,53,72,57,68,54,46,41,49,41,67,48,68,60,84,78,63,71,63,58,50,80,63,59,67,70,78,77,76,55,33,0,0,0,0,46,56,23,18,47,61,50,20,10,25,0,0,100,0,0,55,0,0,0,0,0,0,0,0,99,60,40,0,0,0,88,35,30,67,0,75,90,64,25,50,25,0,0,0,0,25,25,25,25,25,0,0,30,0,25,15,80,60,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,97,29,17,1,74,15,15,18,5,5,5,1,0,1,2,0,0,1,2,16,9,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,10,3,2,0,3,1,3,0,3,0,3,2,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,8,0,3,8FF89488,A6ED4315,6ACD70DF,DA793DB7,0,0,1,0,1,255,0,-41,-25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,Payton,Elfrid,0,0,0,0,1,1,1,0,49159,0,0,1,193.04,185.0,22,2,19,1,1,1,301,-1,2014,0,0,0,2,25,25,75,25,29,4525,0,0,0,0,0,2,0,1,0,0,-1,0,10,0,0,0,0,0,0,1,0,26,0,22,0,0,0,1,1,0,2,6,7,0,4,0,-1,-1,0,75,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,47,75,72,64,64,53,25,83,80,84,85,87,83,83,65,50,45,60,91,86,81,84,45,66,83,54,54,77,42,37,72,61,55,95,92,90,40,78,89,85,76,70,11,12,17,23,15,41,33,38,26,41,33,70,25,5,5,5,85,100,0,0,55,90,0,50,0,50,50,75,50,50,57,93,0,0,0,15,25,25,71,15,25,0,79,0,0,0,100,0,0,0,0,0,0,0,0,5,100,60,25,50,50,50,35,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,80,131,14,0,60,13,7,19,0,0,9,0,0,0,1,1,3,2,1,7,35,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,4,0,1,0,3,0,3,0,3,2,0,3,2,3,0,3,0,3,2,0,3,1,3,0,3,1,3,0,3,0,3,1,3,0,3,8,0,1,6D8BE23F,914EFFF5,5FA0609C,BA078AAB,0,0,1,0,1,255,0,-75,-95,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
